Autumnal; II- (V7) VIIø III7 VImΔ %
Dizzy; bVI- bII7 IΔ %
Extended; VI- II- V7 IΔ
Happenstance; #IV- VII7 IΔ %
Overrun; II- V7 IΔ IVΔ
Moments; #I- #IV7 II- V7 IΔ %
NightAndDay; bVIΔ V7 IΔ %
Nobodys; IΔ III7 VImΔ %
Pullback; II- V7 III- VI7 II- V7 IΔ
Rainbow (variant); IΔ III7 IVΔ %
Rainy; III- bIIIo; II- V7 IΔ %
Satin; VI- II7 bVI- bII7 IΔ %
Spring; VIIø III7 II- V7 IΔ %
Stablemates; bIII- bVI7 II- V7 IΔ %
Starlight N and D Variant; #IVø IV- III- bIIIo II- V7 IΔ
Tension Ending; II- V7 I7 %
Yardbird; IV- bVII7 IΔ %
Autumn Leaves Opening; II- V7 IΔ IVΔ VIIø III7 VImΔ (VI7)
Four-Star Ending; IVΔ #IV- VII7 III- VI7 II- V7 IΔ %
Honeysuckle Bridge; (V-) I7 IVΔ % (VI-) II7 (II-) V7
ITCHY Opening; IΔ III- VI7 II- #IV- VII7
On-Off-On + Dropback; IΔ Any dom 7 IΔ VI7
Rhythm Bridge (VII-) III7 (III-) VI7 (VI-) II7 (II-) V7
Sharp Fourpenny Ending; #IVø IV- bVII7 IΔ (III-) VI7 II- V7 IΔ %
Sixpenny Ending; VI- IV- bVII7 IΔ (III-) VI7 II- V7 IΔ %
To IV ’n’ Bird SPOT; IΔ I7 IVΔ bVII7 III- VI7 II- V7
Twopenny Ending; II- IV- bVII7 IΔ (III-) VI7 II- V7 IΔ %
Foggy; IΔ bIII7 II- V7
II ’n’ Back; II- #IIo (III-)
Ladybird; IΔ bIII7 bVIΔ bII7
To IV 'n' Hack; IΔ I7 IVΔ VII7 IΔ
To IV 'n' Mack; IΔ I7 IVΔ IVmΔ IΔ
Whoopee; IΔ bIIo II- V
