Amen; IVΔ IΔ
Body And Soul; II- VI7 II- V7 IΔ %
Dogleg; VI- II7 II- V7 IΔ %
Long; III- VI7 II- V7 IΔ %
Regular; II- V7 IΔ %
Nowhere; bVI7 V7 IΔ %
Nowhere; IΔ VI7 bVI7 V7
Pennies; IΔ II- III- bIIIo II- V7
Regular (minor); IIø V7+9 IΔ %
Rhythm; IΔ bIIo II- bIIIo
Starlight; #IVø VII7 III- VI7 II- V7 IΔ
Pennies Ending; IVΔ #IVo IΔ (III-) VI7 II- V7 IΔ %
POT (Plain Old Turnaround); IΔ VI7 II- V7
POT (minor); ImΔ Viø IIø V7+9
SPOT; III- VI7 II- V7
To IV 'n' Back; IΔ I7 IVΔ #IVo IΔ
To IV 'n' Yak; IΔ I7 IVΔ bVII7 IΔ
Tritone Substitution; II- bII7 IΔ %
Two Goes; II- V7 II- V7 IΔ
Seven Chord Dropback; II- V7 IΔ VI7 II- V7 IΔ

